brand_name,product_name,price,image_url,ingredient_id
Sunkist,Navel Oranges (4 lb Bag),5.49,/images/product/product_1.jpg,1
Smithfield,Fresh Pork Loin (Boneless),7.99,/images/product/product_2.jpg,2
NatureSweet,Cherubs Grape Tomatoes (10 oz),3.29,/images/product/product_3.jpg,3
Earthbound Farm,Organic Baby Carrots,2.49,/images/product/product_4.jpg,4
Fresh Farms,Honeycrisp Apples (3 lb bag),5.99,/images/product/product_5.jpg,5
Nature’s Best,Yellow Onions (2 lb bag),1.99,/images/product/product_6.jpg,6
Driscoll’s,Fresh Blueberries (6 oz),3.49,/images/product/product_7.jpg,7
Libby’s,Pumpkin Puree (Can),2.89,/images/product/product_8.jpg,8
Vital Farms,Cage-Free Brown Eggs (12 count),4.99,/images/product/product_9.jpg,9
Bell & Evans,Organic Chicken Breast (1 lb),7.99,/images/product/product_10.jpg,10
365 Whole Foods,Grass-Fed Ground Beef (1 lb),6.49,/images/product/product_11.jpg,11
Wild Catch,Atlantic Salmon Fillet (6 oz),8.99,/images/product/product_12.jpg,12
Horizon,Organic Whole Milk (1 gal),5.29,/images/product/product_13.jpg,13
Maple Leaf Farms,Duck Breast (Frozen),12.99,/images/product/product_14.jpg,14
Cape May Shellfish,Fresh Littleneck Clams (1 lb),6.79,/images/product/product_15.jpg,15
Sunset Produce,Italian Eggplant,2.29,/images/product/product_16.jpg,16
Strauss,Lamb Loin Chops (1 lb),10.99,/images/product/product_17.jpg,17
Divemex,Organic Bell Peppers (3-pack),4.49,/images/product/product_18.jpg,18
Dandy,Fresh Cilantro Bunch - Dandy,1.29,/images/product/product_19.jpg,19
Tillamook ,Mild Cheddar Cheese Block (8 oz),3.79,/images/product/product_20.jpg,20
Spice World,Fresh Garlic Bulbs (3 count),1.89,/images/product/product_21.jpg,21
Cal-Organic,Organic Green Onions,1.19,/images/product/product_22.jpg,22
